ObjId,range,speed,angle,snr,Kstate,OboCarSpeed,heigh,heighAngle,X,Y,EstimateCarSpeed,EstimateMagCarSpeed,FcwID0,FcwId1,FcwId2,FcwTTc,FcwPet,ObdCarYawRate,DaiShiYawRate,SelfCalcAngle,SenceFlag,SortFlag,trkReiablility,RadiusCurvature,Xaccel,Yaccel,AgcSw,AgcType,DbfMag,FrameIntervalTime,installAngleOffset,ObjLength,ObjWidth,x rms,y rms,vx rms,vy rms,ax rms,ay rms,A rms,MeasCounter,MAtr,AccX,AccY,AccZ,errorCode
START,FrameNb:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/07/01 17:27:33:897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.59E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/07/01 17:27:33:954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.59E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,10.4,0,7,42,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,228,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
1,125.6,0.4,1.75,16,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,177,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
2,163.2,2.2,-1.75,18,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,181,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
3,18.8,3.2,-6.5,15,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,161,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
4,23,3.2,-4.75,16,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,160,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
5,184.4,-71,3.25,8,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,154,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
6,187.6,79.4,3.5,9,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,145,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
7,187.8,-10,1.25,28,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,207,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
8,64.2,-9.6,14,3,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,137,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
9,53,-9.8,-13,0,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,139,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
10,190.8,65,2.75,7,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,141,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
11,35.4,-9.4,-20,4,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,142,51,-1,0,0,0,0,0,0,0,0,0,13213,0,0,0,0,101/102
