START,FrameNb:5000,,,
24,147.6,1.6,5.25,17
25,167.4,-11.2,5.75,10
26,1024,-11.2,0.25,4
27,10.6,-11,-9.25,13
28,12.2,-11,-9.25,13
29,15.2,1,16,15
30,16,1,16.5,14
31,16.8,1,17.5,15
32,17.4,1,16.5,14
33,18.2,1,16.25,15
34,19.8,-9.4,36.75,12
35,33.2,-11.2,-2,15
36,38,-11.2,-1.75,12
37,39.2,-11.2,-2.5,11
38,39.2,0.4,2,15
39,40.6,0.4,3.25,11
40,47.6,0.6,-9,13
41,48,-10.4,24,8
42,50,-10.4,26,10
43,54.2,-11.2,-0.25,13
44,57.4,-11,11.25,13
45,62.4,9.2,-12.25,10
46,64.4,4,-2.5,15
47,69.6,4,-2,10
48,69.8,1.6,1,14
49,71.8,0.6,-4,14
50,73.2,0.6,-5,14
51,74,0.6,-4.25,11
52,78,-11.2,1,14
END,Total:53,,,
START,FrameNb:5010,,,
2020/08/09 14:15:33:394,,,,
1.60E+12,,,,
0,30,-11.2,-5.25,18
1,30,-11.2,1.5,17
2,33.4,-11.2,-4.75,19
3,33.4,-11.2,1,17
4,37.6,-11.2,-5.25,15
5,39.2,0.4,0.25,20
6,39.2,0.4,9,18
7,42.6,6.2,-18,12
8,42.6,6.2,-12.75,10
9,47.8,0.6,-10.75,19
10,47.8,0.6,-5,18
11,53.8,-11.2,-2.5,18
12,60.6,-10.6,20,8
13,63,9.2,-12,11
14,64.8,4,-3,15
15,67.4,-11.2,1.25,17
16,69,4,-1.75,16
17,70,1.6,-2,16
18,70.8,4,-1.75,13
19,71.6,0.6,-4.25,17
20,76,-11.2,8.75,16
21,80.4,-11.2,9.75,10
22,83.8,-11.2,1.25,11
23,85.4,-11.2,5.75,14
24,87.8,6.8,-5.75,13
25,88.8,-11.2,7.75,10
26,94,-11.2,6,16
27,111.8,0.8,0.25,16
28,117.8,-11.2,1.75,12
29,148.6,1.6,6,15
30,166.6,-11.2,7,11
31,1024,1,17.5,15
32,12,-11,-9,15
33,15.2,1,15.75,14
34,16.2,1,16,14
35,17,1,17.5,14
36,17.4,1,16,14
37,18.2,1,16.25,14
38,19.2,-9.2,38.25,12
39,23,-10,31,15
40,32.4,-11.2,-3,15
41,36.4,-11.2,-1,13
42,37.2,-11.2,-3.25,13
43,39.2,0.4,2.25,14
44,40.6,0.4,3,12
45,42.6,-10.4,26.25,13
46,43.2,6,-16.25,11
47,47.4,0.6,-9,14
48,53.6,-11.2,-1,13
49,63,9.2,-12.5,9
50,64.8,4,-2.5,14
51,69.2,4,-1.75,13
52,69.8,1.6,1.5,14
53,70.8,4,-1.75,11
54,71.8,0.6,-4.25,14
55,73.2,0.6,-5,12
56,77.4,-11.2,1.25,14
57,87.6,6.8,-5.75,11
END,Total:58,,,
START,FrameNb:5011,,,
2020/08/09 14:15:33:447,,,,
1.60E+12,,,,
0,15.2,1,13.75,20
1,28.2,-11.2,-6.25,18
2,28.2,-11.2,2.25,15
3,31.6,-11.2,-5.5,19
4,31.6,-11.2,1,18
5,35.8,-11.2,-3.75,18
6,35.8,-11.2,2.25,17
7,39.2,0.4,0,18
8,39.2,0.4,9.25,16
9,44.2,6.2,-17,12
10,44.2,6.2,-12.75,10
11,47.8,0.6,-8.75,13
12,63,9.2,-12,11
13,64.8,4,-3,15
14,67.4,-11.2,1.25,17
15,69,4,-1.75,16
16,70,1.6,-2,16
17,71.6,0.6,-4.25,17
18,76,-11.2,8.75,16
19,80.4,-11.2,9.75,10
20,83.8,-11.2,1.25,11
21,85.4,-11.2,5.75,14
22,87.8,6.8,-5.75,13
23,94,-11.2,6,16
24,101.6,-11.2,0.25,11
25,111.8,0.8,0.25,16
26,113.6,-11,9.75,8
27,117.8,-11.2,1.75,12
28,131.6,-11.2,8.75,9
29,148.6,1.6,6,15
30,166.6,-11.2,7,11
31,210.2,-11.2,-4,11
32,1024,-11,-9,15
33,12,-11,-10,16
34,15.2,1,15.25,15
35,16.8,1,17,14
36,17.2,1,16.25,14
37,18,1,16,13
38,18.6,-9.2,39,12
39,19.4,-9.4,36.5,12
40,23.2,-9.8,31.75,16
41,28,-11.2,-3.75,14
42,31.8,-11.2,-2.75,14
43,35.8,-11.2,-1.75,11
44,37.6,-11.2,-2,13
45,39.4,0.4,2.75,15
46,40.8,0.4,3,5
47,42,-10.2,27.25,13
48,43.4,6.2,-16,13
49,47.6,0.6,-9,13
50,52.8,-11.2,-1.75,12
51,63.6,9.2,-12.75,14
52,65,4,-2.5,13
53,68,4,-2,9
54,70,1.8,2,14
55,71,4,-2,10
56,71.2,1.8,2.5,10
57,71.8,0.6,-4.5,13
58,76.8,-11.2,0.5,12
END,Total:59,,,
START,FrameNb:5012,,,
2020/08/09 14:15:33:510,,,,
1.60E+12,,,,
0,15.2,1,13.75,20
1,19.6,-11.2,-6.75,14
2,28.2,-11.2,-6.25,18
3,28.2,-11.2,2.25,15
4,31.6,-11.2,-5.5,19
5,31.6,-11.2,1,18
6,35.8,-11.2,-3.75,18
7,35.8,-11.2,2.25,17
8,39.2,0.6,0,18
9,39.2,0.6,9.25,16
10,44.2,6.2,-17,12
11,44.2,6.2,-12.75,10
12,47.8,0.8,-8.75,13
13,64,9.2,-12,13
14,66.6,4,-3.5,9
15,67.4,-11.2,-0.75,11
16,69.2,-11.2,11,4
17,70,1.6,2.5,17
18,70.8,4,-0.25,4
19,73.4,0.6,-5.25,17
20,74.4,-11.2,11,0
21,82,-11.2,0.75,10
22,83.8,-11.2,6.5,11
23,92.2,-11.2,5.25,11
24,94.8,-11.2,6.5,12
25,100,-11.2,0.25,12
26,111.8,1,1.25,15
27,112,-11,11,3
28,115.4,-11.2,0.75,12
29,129,-11.2,7.75,9
30,148.6,1.8,5.25,17
31,164.8,-11.2,6.5,9
32,189.6,-11.2,4.75,11
33,209.2,-11.2,-4,14
34,1024,1,15.25,15
35,11.8,-11,-8,11
36,13,-11.2,-6,13
37,15,-11.2,-6,0
38,15.2,1,15,14
39,16.8,1,17.75,12
40,17.4,1,16,13
41,18.2,-9,39.25,13
42,18.2,1,16.25,13
43,19.2,-11.2,-5.75,12
44,19.2,-9.4,36.5,12
45,22.2,-10,31,13
46,27.4,-11.2,-3.5,14
47,31.2,-11.2,-2.75,14
48,35.6,-11.2,-1.75,13
49,38,-11.2,-2,13
50,39.4,0.6,2.75,14
51,41.8,-10,29.25,12
52,43.8,6.2,-15.25,12
53,47.6,0.6,-8.5,13
54,52.4,-11.2,-1.75,11
55,64,9.2,-12.75,12
56,65.4,4,-3.25,14
57,66.2,4,12,11
58,66.4,-11.2,12.25,3
59,70,1.8,2.25,14
60,71.2,4,-2.25,10
61,71.8,0.6,-4.5,14
62,72,4,-3.25,9
63,72,1.8,2.5,9
64,73,-11.2,9.5,11
END,Total:65,,,
START,FrameNb:5013,,,
2020/08/09 14:15:33:565,,,,
1.60E+12,,,,
0,9.4,-11,-11.75,20
1,15.2,1,14.25,20
2,15.4,-11,-7.75,3
3,15.4,-11,0.25,1
4,18,-11.2,-6.5,16
5,18,-11.2,0,14
6,18.8,1,11.5,18
7,35,-11.2,-3.75,19
8,35,-11.2,1,17
9,40.2,-10.4,21,0
10,40.2,-10.4,29,0
11,47.8,0.8,-11,19
12,47.8,0.8,-5,18
13,54.6,-11,8.5,18
14,58.2,-11,-2.75,15
15,58.2,-11,7.5,14
16,64,9.2,-12,13
17,66.6,4,-3.5,9
18,67.4,-11.2,-0.75,11
19,69.2,-11,11,4
20,70,1.6,2.5,17
21,70.8,4,-0.25,4
22,73.4,0.6,-5.25,17
23,74.4,-11.2,11,0
24,82,-11.2,0.75,10
25,92.2,-11.2,5.25,11
26,94.8,-11.2,6.5,12
27,100,-11.2,0.25,12
28,111.8,1,1.25,15
29,115.4,-11.2,0.75,12
30,124.8,-11.2,0.75,12
31,129,-11.2,7.75,9
32,148.6,1.8,5.25,17
33,164.8,-11.2,6.5,9
34,181.2,-11.2,4.75,9
35,189.6,-11.2,4.75,11
36,209.2,-11.2,-4,14
37,1024,-11.2,-6,0
38,11.8,-11,-7.75,14
39,13.8,-11.2,-6,12
40,15.4,1,15,15
41,16.8,1,18,14
42,18.6,-11.2,-5.75,5
43,17.8,1,16.5,14
44,22.4,-10,29.5,14
45,26.8,-11.2,-3.75,14
46,30.6,-11.2,-3.25,15
47,35,-11.2,-1.5,14
48,36.4,-11,-1.5,11
49,39.4,0.6,2.5,14
50,40.4,-10.4,23.75,10
51,45.6,-10.4,24.75,12
52,47.6,0.6,-8.5,13
53,53.8,-11,11.25,11
54,57.6,-11.2,0,11
55,59.4,-11,1.25,12
56,64.4,-11.2,0,13
57,64.4,9.2,-12.25,13
58,65.6,4,-3.25,14
59,70.6,4,-2,1
60,70.2,1.8,2.25,14
61,71.8,4,-2.25,8
62,71.8,0.6,-4.25,14
63,73.4,0.6,-5.5,13
END,Total:64,,,
START,FrameNb:5014,,,
2020/08/09 14:15:33:625,,,,
1.60E+12,,,,
0,9.4,-10.8,-11.75,20
1,15.2,1,14.25,20
2,15.4,-11,-7.75,3
3,15.4,-11,0.25,1
4,18,-11.2,-6.5,16
5,18,-11.2,0,14
6,18.8,1,11.5,18
7,39.2,0.6,0.5,19
8,47.8,0.8,-11,19
9,47.8,0.8,-5,18
10,54.6,-11,8.5,18
11,64.8,9.2,-12,10
12,65,-11,-5.25,6
13,66.6,4,10.5,15
14,70,-11,10,9
15,70.8,1.6,3.5,16
16,72.4,4,-4,0
17,73.4,0.6,-4.25,15
18,81.2,-11.2,7.5,9
19,82,0.6,-4.25,13
20,89.8,-11.2,3,11
21,91.4,-11.2,11,9
22,99.2,-11.2,0,13
23,106,-11.2,0.75,12
24,111,1,-0.25,15
25,115.4,-11.2,1.75,8
26,138.4,-11.2,0,8
27,148.6,1.8,5.25,17
28,163.2,-11.2,5.25,12
29,180.2,-11.2,6.5,7
30,187,-10.6,-13.25,12
31,189.6,-11.2,6,8
